證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外資買賣超,外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超,自營商買賣超,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),法人合計買賣超
080369,大銀元大4B購01,0,0,0.0,0,0,0,0,0,0.0,506.0,0,0,0,506000,0,506000,506.0
05073U,台達電凱基52售05,0,0,0.0,0,0,0,0,0,0.0,506.0,0,0,0,506000,0,506000,506.0
00935,野村臺灣新科技50,527000,286000,241.0,0,0,0,0,0,0.0,264.975,0,0,0,3133671,2868696,264975,505.975
009803,保德信市值動能50,10000,0,10.0,0,0,0,0,0,0.0,494.844,7000,0,7000,657206,169362,487844,504.844
05852U,臺股指元富53售02,0,0,0.0,0,0,0,0,0,0.0,503.0,0,0,0,528000,25000,503000,503.0
085885,迅得群益4C購02,0,0,0.0,0,0,0,0,0,0.0,501.0,0,0,0,540000,39000,501000,501.0
032368,台光電富邦53購04,0,0,0.0,0,0,0,0,0,0.0,500.0,0,0,0,500000,0,500000,500.0
085002,SGBR2X國泰51購01,0,0,0.0,0,0,0,0,0,0.0,500.0,0,0,0,500000,0,500000,500.0
083100,鴻準群益4C購04,0,0,0.0,0,0,0,0,0,0.0,499.0,0,0,0,499000,0,499000,499.0
083120,直得元大4C購01,0,0,0.0,0,0,0,0,0,0.0,499.0,0,0,0,499000,0,499000,499.0
08424P,臺股指中信51售04,0,0,0.0,0,0,0,0,0,0.0,499.0,0,0,0,499000,0,499000,499.0
081085,英業達群益4B購01,0,0,0.0,0,0,0,0,0,0.0,499.0,0,0,0,499000,0,499000,499.0
079896,矽力國票4C購01,0,0,0.0,0,0,0,0,0,0.0,499.0,0,0,0,499000,0,499000,499.0
069154,泰金寶群益4C購01,0,0,0.0,0,0,0,0,0,0.0,499.0,0,0,0,499000,0,499000,499.0
071843,國企2X凱基4B購01,0,0,0.0,0,0,0,0,0,0.0,499.0,0,0,0,499000,0,499000,499.0
03522U,台光電國泰52售03,0,0,0.0,0,0,0,0,0,0.0,499.0,0,0,0,499000,0,499000,499.0
060202,美債2X永豐4C購01,0,0,0.0,0,0,0,0,0,0.0,499.0,0,0,0,499000,0,499000,499.0
066740,元債2X元大59購01,0,0,0.0,0,0,0,0,0,0.0,499.0,0,0,0,499000,0,499000,499.0
030942,台光電國泰53購03,0,0,0.0,0,0,0,0,0,0.0,498.0,0,0,0,505000,7000,498000,498.0
03958C,元債2X元大51牛02,0,0,0.0,0,0,0,0,0,0.0,498.0,0,0,0,498000,0,498000,498.0
032213,SGBR2X群益52購03,0,0,0.0,0,0,0,0,0,0.0,496.0,0,0,0,499000,3000,496000,496.0
030919,台塑化元富52購01,0,0,0.0,0,0,0,0,0,0.0,495.0,0,0,0,499000,4000,495000,495.0
083269,創意富邦54購01,0,0,0.0,0,0,0,0,0,0.0,494.0,0,0,0,496000,2000,494000,494.0
07673P,中砂凱基53售01,0,0,0.0,0,0,0,0,0,0.0,494.0,0,0,0,504000,10000,494000,494.0
031282,台光電統一57購02,0,0,0.0,0,0,0,0,0,0.0,493.0,0,0,0,571000,78000,493000,493.0
031290,奇鋐統一57購03,0,0,0.0,0,0,0,0,0,0.0,492.0,0,0,0,1521000,1029000,492000,492.0
4551,智伸科,742000,402000,340.0,0,0,0,125000,0,125.0,25.484,7265,7369,-104,30588,5000,25588,490.484
063214,S&P反1元大56購01,0,0,0.0,0,0,0,0,0,0.0,490.0,0,0,0,490000,0,490000,490.0
083627,台光電統一5C購01,0,0,0.0,0,0,0,0,0,0.0,489.0,0,0,0,570000,81000,489000,489.0
077390,明泰永豐4B購01,0,0,0.0,0,0,0,0,0,0.0,489.0,0,0,0,509000,20000,489000,489.0
089451,貿聯元大51購13,0,0,0.0,0,0,0,0,0,0.0,487.0,0,0,0,905000,418000,487000,487.0
089560,廣宇元大54購01,0,0,0.0,0,0,0,0,0,0.0,485.0,0,0,0,495000,10000,485000,485.0
086898,致茂統一57購01,0,0,0.0,0,0,0,0,0,0.0,485.0,0,0,0,556000,71000,485000,485.0
086203,致茂統一56購03,0,0,0.0,0,0,0,0,0,0.0,483.0,0,0,0,709000,226000,483000,483.0
034042,佳能群益53購01,0,0,0.0,0,0,0,0,0,0.0,482.0,0,0,0,506000,24000,482000,482.0
047118,新日興統一51購01,0,0,0.0,0,0,0,0,0,0.0,482.0,0,0,0,493000,11000,482000,482.0
036208,jpp凱基55購01,0,0,0.0,0,0,0,0,0,0.0,480.0,0,0,0,497000,17000,480000,480.0
083266,台積電富邦56購01,0,0,0.0,0,0,0,0,0,0.0,475.0,0,0,0,501000,26000,475000,475.0
034595,昇貿元大54購05,0,0,0.0,0,0,0,0,0,0.0,472.0,0,0,0,912000,440000,472000,472.0
031072,昇陽半中信52購01,0,0,0.0,0,0,0,0,0,0.0,470.0,0,0,0,711000,241000,470000,470.0
089056,富世達凱基51購06,0,0,0.0,0,0,0,0,0,0.0,470.0,0,0,0,779000,309000,470000,470.0
089569,亞光元大51購09,0,0,0.0,0,0,0,0,0,0.0,468.0,0,0,0,468000,0,468000,468.0
032502,富世達永豐53購06,0,0,0.0,0,0,0,0,0,0.0,468.0,0,0,0,1357000,889000,468000,468.0
030039,創意群益51購08,0,0,0.0,0,0,0,0,0,0.0,467.0,0,0,0,480000,13000,467000,467.0
2515,中工,1837021,1501000,336.021,0,0,0,0,4000,-4.0,131.897,132000,0,132000,0,103,-103,463.918
036020,創意元大54購10,0,0,0.0,0,0,0,0,0,0.0,462.0,0,0,0,563000,101000,462000,462.0
084449,上銀元大4C購01,0,0,0.0,0,0,0,0,0,0.0,461.0,0,0,0,470000,9000,461000,461.0
083943,連加國票51購01,0,0,0.0,0,0,0,0,0,0.0,460.0,0,0,0,460000,0,460000,460.0
030508,愛普國票54購01,0,0,0.0,0,0,0,0,0,0.0,460.0,0,0,0,911000,451000,460000,460.0
05798U,光寶科凱基54售05,0,0,0.0,0,0,0,0,0,0.0,460.0,0,0,0,461000,1000,460000,460.0
063700,世芯永豐54購01,0,0,0.0,0,0,0,0,0,0.0,460.0,0,0,0,621000,161000,460000,460.0
087527,嘉澤富邦53購02,0,0,0.0,0,0,0,0,0,0.0,460.0,0,0,0,513000,53000,460000,460.0
073005,穎崴富邦4C購01,0,0,0.0,0,0,0,0,0,0.0,459.0,0,0,0,469000,10000,459000,459.0
3048,益登,1307000,839000,468.0,0,0,0,0,0,0.0,-9.462,8000,17838,-9838,465,89,376,458.538
031590,鴻海中信58購01,0,0,0.0,0,0,0,0,0,0.0,458.0,0,0,0,659000,201000,458000,458.0
06009U,力積電中信53售04,0,0,0.0,0,0,0,0,0,0.0,457.0,0,0,0,1103000,646000,457000,457.0
04614U,臺股指富邦51售14,0,0,0.0,0,0,0,0,0,0.0,456.0,0,0,0,620000,164000,456000,456.0
03683B,臺股指凱基5A熊01,0,0,0.0,0,0,0,0,0,0.0,454.0,0,0,0,672000,218000,454000,454.0
085253,jpp元大4C購07,0,0,0.0,0,0,0,0,0,0.0,453.0,0,0,0,501000,48000,453000,453.0
089368,欣興群益55購01,0,0,0.0,0,0,0,0,0,0.0,453.0,0,0,0,524000,71000,453000,453.0
038272,祥碩元大53購04,0,0,0.0,0,0,0,0,0,0.0,447.0,0,0,0,457000,10000,447000,447.0
084739,訊芯元大4C購02,0,0,0.0,0,0,0,0,0,0.0,447.0,0,0,0,447000,0,447000,447.0
